name,url,coords
"The Wheatsheaf, Fitzrovia","https://en.wikipedia.org/wiki/The_Wheatsheaf,_Fitzrovia",51.5177°N 0.1341°W
"The Winchester, Highgate","https://en.wikipedia.org/wiki/The_Winchester,_Highgate",51.57366°N 0.14096°W
"The World's End, Camden","https://en.wikipedia.org/wiki/The_World%27s_End,_Camden",51.53913111°N 0.14226694°W
The Yorkshire Grey,https://en.wikipedia.org/wiki/The_Yorkshire_Grey,51.5189528°N 0.1413639°W
Bell Savage Inn,https://en.wikipedia.org/wiki/Bell_Savage_Inn,51.51417°N 0.10361°W
"The Black Friar, Blackfriars","https://en.wikipedia.org/wiki/The_Black_Friar,_Blackfriars",51.512121°N 0.103751°W
"Boar's Head Inn, Eastcheap","https://en.wikipedia.org/wiki/Boar%27s_Head_Inn,_Eastcheap",51.51083°N 0.08667°W
Dirty Dick,https://en.wikipedia.org/wiki/Dirty_Dick,51.5180°N 0.0796°W
East India Arms,https://en.wikipedia.org/wiki/East_India_Arms,51.5123349°N 0.0792325°W
The Fortune of War Public House,https://en.wikipedia.org/wiki/The_Fortune_of_War_Public_House,51.51716°N 0.10157°W
George and Vulture,https://en.wikipedia.org/wiki/George_and_Vulture,51.5130°N 0.0858°W
Hand and Shears,https://en.wikipedia.org/wiki/Hand_and_Shears,51.51928°N 0.09884°W
"Hoop and Grapes, Aldgate High Street","https://en.wikipedia.org/wiki/Hoop_and_Grapes,_Aldgate_High_Street",51.51421°N 0.074177°W
"Hoop and Grapes, Farringdon Street","https://en.wikipedia.org/wiki/Hoop_and_Grapes,_Farringdon_Street",51.5154°N 0.1050°W
Jamaica Wine House,https://en.wikipedia.org/wiki/Jamaica_Wine_House,51.5130°N 0.0856°W
The Old Bank of England,https://en.wikipedia.org/wiki/The_Old_Bank_of_England,51.513963°N 0.111486°W
"Old Bell, Fleet Street","https://en.wikipedia.org/wiki/Old_Bell,_Fleet_Street",51.514070°N 0.105270°W
Ye Olde Cheshire Cheese,https://en.wikipedia.org/wiki/Ye_Olde_Cheshire_Cheese,51.5143236°N 0.10716940°W
Ye Olde Cock Tavern,https://en.wikipedia.org/wiki/Ye_Olde_Cock_Tavern,51.513750°N 0.11056°W
Viaduct Tavern,https://en.wikipedia.org/wiki/Viaduct_Tavern,51.51621°N 0.10173°W
The Drayton Court,https://en.wikipedia.org/wiki/The_Drayton_Court,51.5142°N 0.3193°W
"Duke of Kent, Ealing","https://en.wikipedia.org/wiki/Duke_of_Kent,_Ealing",51.52514°N 0.32024°W
"The Forester, Ealing","https://en.wikipedia.org/wiki/The_Forester,_Ealing",51.50608°N 0.32046°W
"The Fox Inn, Hanwell","https://en.wikipedia.org/wiki/The_Fox_Inn,_Hanwell",51.50426°N 0.34337°W
"Half-Way House, West Ealing","https://en.wikipedia.org/wiki/Half-Way_House,_West_Ealing",51.5098°N 0.3275°W
"Kings Arms, Hanwell","https://en.wikipedia.org/wiki/Kings_Arms,_Hanwell",51.5086°N 0.3368°W
"Three Horseshoes, Southall","https://en.wikipedia.org/wiki/Three_Horseshoes,_Southall",51.51106°N 0.37544°W
"Bell Inn, Enfield","https://en.wikipedia.org/wiki/Bell_Inn,_Enfield",51.6669°N 0.0430°W
The Crown and Horseshoes,https://en.wikipedia.org/wiki/The_Crown_and_Horseshoes,51.6559°N 0.0869°W
Fallow Buck Inn,https://en.wikipedia.org/wiki/Fallow_Buck_Inn,51.67275°N 0.09366°W
"The Fox, Palmers Green","https://en.wikipedia.org/wiki/The_Fox,_Palmers_Green",51.620458°N 0.1064957°W
Ye Olde Cherry Tree,https://en.wikipedia.org/wiki/Ye_Olde_Cherry_Tree,51.6248°N 0.1235°W
"The Rose and Crown, Clay Hill","https://en.wikipedia.org/wiki/The_Rose_and_Crown,_Clay_Hill",51.6712°N 0.0837°W
"The White Horse, Enfield","https://en.wikipedia.org/wiki/The_White_Horse,_Enfield",51.6566°N 0.0419°W
"Cutty Sark, Greenwich","https://en.wikipedia.org/wiki/Cutty_Sark,_Greenwich",51.48631°N 0.00045°W
"Kings Arms, Woolwich","https://en.wikipedia.org/wiki/Kings_Arms,_Woolwich",51.4874°N 0.0561°E
"The Mitre, Greenwich","https://en.wikipedia.org/wiki/The_Mitre,_Greenwich",51.4801°N 0.0097°W
"Spanish Galleon, Greenwich","https://en.wikipedia.org/wiki/Spanish_Galleon,_Greenwich",51.4817°N 0.0099°W
Sun in the Sands,https://en.wikipedia.org/wiki/Sun_in_the_Sands,51.47500°N 0.02500°E
Trafalgar Tavern,https://en.wikipedia.org/wiki/Trafalgar_Tavern,51.4845°N 0.0043°W
"Army and Navy, Stoke Newington","https://en.wikipedia.org/wiki/Army_and_Navy,_Stoke_Newington",51.551886°N 0.079452°W
"The Dolphin, Hackney","https://en.wikipedia.org/wiki/The_Dolphin,_Hackney",51.5398°N 0.0562°W
"George and Dragon, Shoreditch","https://en.wikipedia.org/wiki/George_and_Dragon,_Shoreditch",51.529694°N 0.074611°W
The Joiners Arms,https://en.wikipedia.org/wiki/The_Joiners_Arms,51.529605°N 0.074654°W
"Rose and Crown, Stoke Newington","https://en.wikipedia.org/wiki/Rose_and_Crown,_Stoke_Newington",51.561011°N 0.083713°W
"Stag's Head, Hoxton","https://en.wikipedia.org/wiki/Stag%27s_Head,_Hoxton",51.536333°N 0.080785°W
The Wenlock Arms,https://en.wikipedia.org/wiki/The_Wenlock_Arms,51.5314°N 0.0940°W
Aragon House,https://en.wikipedia.org/wiki/Aragon_House,51.472639°N 0.200694°W
"Black Lion, Hammersmith","https://en.wikipedia.org/wiki/Black_Lion,_Hammersmith",51.4902°N 0.2418°W
"Blue Anchor, Hammersmith","https://en.wikipedia.org/wiki/Blue_Anchor,_Hammersmith",51.4895°N 0.2308°W
"The Brown Cow, Parsons Green (page does not exist)","https://en.wikipedia.org/w/index.php?title=The_Brown_Cow,_Parsons_Green&action=edit&redlink=1",NA
"The Cock, Fulham","https://en.wikipedia.org/wiki/The_Cock,_Fulham",51.4813°N 0.1997°W
"The Cross Keys, Hammersmith","https://en.wikipedia.org/wiki/The_Cross_Keys,_Hammersmith",51.492316°N 0.242706°W
"The Dove, Hammersmith","https://en.wikipedia.org/wiki/The_Dove,_Hammersmith",51.4905°N 0.2348°W
"Duke of Cumberland, Fulham","https://en.wikipedia.org/wiki/Duke_of_Cumberland,_Fulham",51.472567°N 0.199923°W
"Eight Bells, Fulham","https://en.wikipedia.org/wiki/Eight_Bells,_Fulham",51.4679°N 0.2101°W
"The George, Hammersmith","https://en.wikipedia.org/wiki/The_George,_Hammersmith",51.493293°N 0.224562°W
"Golden Lion, Fulham","https://en.wikipedia.org/wiki/Golden_Lion,_Fulham",51.47000°N 0.21028°W
Hampshire Hog,https://en.wikipedia.org/wiki/Hampshire_Hog,51.492526°N 0.2333061°W
The Hop Poles,https://en.wikipedia.org/wiki/The_Hop_Poles,51.49278°N 0.22583°W
"Hope and Anchor, Hammersmith","https://en.wikipedia.org/wiki/Hope_and_Anchor,_Hammersmith",51.49167°N 0.23194°W
"The King's Head, Fulham","https://en.wikipedia.org/wiki/The_King%27s_Head,_Fulham",51.4715°N 0.2115°W
Laurie Arms,https://en.wikipedia.org/wiki/Laurie_Arms,51.4941°N 0.2243°W
The Queen Adelaide,https://en.wikipedia.org/wiki/The_Queen_Adelaide,51.506608°N 0.237502°W
"Queen's Head, Brook Green","https://en.wikipedia.org/wiki/Queen%27s_Head,_Brook_Green",51.496169°N 0.22098720°W
Princess Victoria (public house),https://en.wikipedia.org/wiki/Princess_Victoria_(public_house),51.5063°N 0.2409°W
"Rutland Arms, Hammersmith","https://en.wikipedia.org/wiki/Rutland_Arms,_Hammersmith",51.489845°N 0.231422°W
"Salutation, Hammersmith","https://en.wikipedia.org/wiki/Salutation,_Hammersmith",51.492824°N 0.232820°W
"The Swan, Hammersmith","https://en.wikipedia.org/wiki/The_Swan,_Hammersmith",51.49306°N 0.22500°W
"Temperance Billiard Hall, Fulham","https://en.wikipedia.org/wiki/Temperance_Billiard_Hall,_Fulham",51.4694°N 0.2105°W
"The White Horse, Fulham","https://en.wikipedia.org/wiki/The_White_Horse,_Fulham",51.47444°N 0.20028°W
"Great Northern Railway, Hornsey","https://en.wikipedia.org/wiki/Great_Northern_Railway,_Hornsey",51.588012°N 0.11627028°W
"Queens, Crouch End","https://en.wikipedia.org/wiki/Queens,_Crouch_End",51.580513°N 0.122470°W
The Salisbury,https://en.wikipedia.org/wiki/The_Salisbury,51.582278°N 0.099417°W
"The Castle, Harrow","https://en.wikipedia.org/wiki/The_Castle,_Harrow",51.5720°N 0.3400°W
"Queen's Head, Pinner","https://en.wikipedia.org/wiki/Queen%27s_Head,_Pinner",51.594368°N 0.380705°W
"Rayners, Rayners Lane","https://en.wikipedia.org/wiki/Rayners,_Rayners_Lane",51.577316°N 0.369448°W
Seven Balls,https://en.wikipedia.org/wiki/Seven_Balls,51.6104°N 0.3302°W
"The Angel, Hayes","https://en.wikipedia.org/wiki/The_Angel,_Hayes",51.524934°N 0.433305°W
"Black Horse, Eastcote","https://en.wikipedia.org/wiki/Black_Horse,_Eastcote",51.58444°N 0.40666°W
"Case is Altered, Eastcote","https://en.wikipedia.org/wiki/Case_is_Altered,_Eastcote",51.58878°N 0.40366°W
Crown and Treaty,https://en.wikipedia.org/wiki/Crown_and_Treaty,51.5499°N 0.4841°W
"The Crown, Cowley","https://en.wikipedia.org/wiki/The_Crown,_Cowley",51.53096°N 0.48212°W
"Queen's Head, Uxbridge","https://en.wikipedia.org/wiki/Queen%27s_Head,_Uxbridge",51.54587°N 0.47998°W
"Red Lion, Hillingdon","https://en.wikipedia.org/wiki/Red_Lion,_Hillingdon",51.53488°N 0.46114°W
"The Shovel, Cowley","https://en.wikipedia.org/wiki/The_Shovel,_Cowley",51.52968°N 0.48565°W
"The Swan Inn, Ruislip","https://en.wikipedia.org/wiki/The_Swan_Inn,_Ruislip",51.576547°N 0.427058°W
"Three Tuns, Uxbridge","https://en.wikipedia.org/wiki/Three_Tuns,_Uxbridge",51.54556°N 0.47889°W
"Bull's Head, Strand-on-the-Green","https://en.wikipedia.org/wiki/Bull%27s_Head,_Strand-on-the-Green",51.484389°N 0.278167°W
"Coach and Horses, Isleworth","https://en.wikipedia.org/wiki/Coach_and_Horses,_Isleworth",51.47944°N 0.32015°W
George and Devonshire,https://en.wikipedia.org/wiki/George_and_Devonshire,51.486487°N 0.25196°W
"London Apprentice, Isleworth","https://en.wikipedia.org/wiki/London_Apprentice,_Isleworth",51.471124°N 0.32086961°W
Mawson Arms,https://en.wikipedia.org/wiki/Mawson_Arms,51.48806°N 0.24964°W
Old Packhorse,https://en.wikipedia.org/wiki/Old_Packhorse,51.4929°N 0.2667°W
"Rose and Crown, Isleworth","https://en.wikipedia.org/wiki/Rose_and_Crown,_Isleworth",51.47696°N 0.32810°W
"The Tabard, Chiswick","https://en.wikipedia.org/wiki/The_Tabard,_Chiswick",51.495704°N 0.254605°W
"The Angel, Islington","https://en.wikipedia.org/wiki/The_Angel,_Islington",51.532°N 0.106°W
"The Crown, Islington","https://en.wikipedia.org/wiki/The_Crown,_Islington",51.53726°N 0.10952°W
Fox and Anchor,https://en.wikipedia.org/wiki/Fox_and_Anchor,51.52036°N 0.10067°W
"Flying Scotsman, Kings Cross","https://en.wikipedia.org/wiki/Flying_Scotsman,_Kings_Cross",51.531082°N 0.12081278°W
"The Hope, Smithfield","https://en.wikipedia.org/wiki/The_Hope,_Smithfield",51.51974°N 0.10213°W
"The Hope and Anchor, Islington","https://en.wikipedia.org/wiki/The_Hope_and_Anchor,_Islington",51.5432°N 0.1034°W
"The Island Queen, Islington","https://en.wikipedia.org/wiki/The_Island_Queen,_Islington",51.533203°N 0.098463388°W
The Old Queens Head,https://en.wikipedia.org/wiki/The_Old_Queens_Head,51.5373°N 0.100447°W
"The Old Red Lion, Islington","https://en.wikipedia.org/wiki/The_Old_Red_Lion,_Islington",51.5314°N 0.1062°W
"Peacock Inn, Islington","https://en.wikipedia.org/wiki/Peacock_Inn,_Islington",51.5324°N 0.1065°W
"Slug and Lettuce, Islington","https://en.wikipedia.org/wiki/Slug_and_Lettuce,_Islington",51.53664°N 0.10316°W
"The White Bear, Clerkenwell","https://en.wikipedia.org/wiki/The_White_Bear,_Clerkenwell",51.52115°N 0.10177°W
"Anglesea Arms, South Kensington","https://en.wikipedia.org/wiki/Anglesea_Arms,_South_Kensington",51.490091°N 0.177021°W
"Bunch of Grapes, Knightsbridge","https://en.wikipedia.org/wiki/Bunch_of_Grapes,_Knightsbridge",51.497489°N 0.167058°W
Chelsea Potter,https://en.wikipedia.org/wiki/Chelsea_Potter,51.4885°N 0.1659°W
"Coleherne, Earls Court","https://en.wikipedia.org/wiki/Coleherne,_Earls_Court",51.4889°N 0.1915°W
Crocker's Folly,https://en.wikipedia.org/wiki/Crocker%27s_Folly,51.5259°N 0.1749°W
"The Cross Keys, Chelsea","https://en.wikipedia.org/wiki/The_Cross_Keys,_Chelsea",51.483746°N 0.170951°W
"Drayton Arms, Earls Court","https://en.wikipedia.org/wiki/Drayton_Arms,_Earls_Court",51.490583°N 0.183306°W
"Elgin, Ladbroke Grove","https://en.wikipedia.org/wiki/Elgin,_Ladbroke_Grove",51.51611°N 0.20889°W
Fitzroy Tavern,https://en.wikipedia.org/wiki/Fitzroy_Tavern,51.5186°N 0.1347°W
Fox and Pheasant,https://en.wikipedia.org/wiki/Fox_and_Pheasant,51.4821°N 0.1880°W
Goat in Boots,https://en.wikipedia.org/wiki/Goat_in_Boots,51.4861°N 0.1802°W
"The Goat, Kensington","https://en.wikipedia.org/wiki/The_Goat,_Kensington",51.5022°N 0.1877°W
The Hansom Cab,https://en.wikipedia.org/wiki/The_Hansom_Cab,51.496437°N 0.197254°W
"Hollywood Arms, Chelsea","https://en.wikipedia.org/wiki/Hollywood_Arms,_Chelsea",51.4863°N 0.1843°W
The King's Head and Eight Bells,https://en.wikipedia.org/wiki/The_King%27s_Head_and_Eight_Bells,51.483527°N 0.16954820°W
"Lord High Admiral, Pimlico","https://en.wikipedia.org/wiki/Lord_High_Admiral,_Pimlico",51.491098°N 0.135264°W
Newman Arms,https://en.wikipedia.org/wiki/Newman_Arms,51.518124°N 0.135326°W
"The Punch Bowl, Mayfair","https://en.wikipedia.org/wiki/The_Punch_Bowl,_Mayfair",51.5090°N 0.1494°W
The Phene,https://en.wikipedia.org/wiki/The_Phene,51.485251°N 0.167708°W
"Prince of Teck, Earl's Court","https://en.wikipedia.org/wiki/Prince_of_Teck,_Earl%27s_Court",51.4928°N 0.1938°W
"Rising Sun, Fitzrovia","https://en.wikipedia.org/wiki/Rising_Sun,_Fitzrovia",51.519222°N 0.133139°W
Scarsdale Tavern,https://en.wikipedia.org/wiki/Scarsdale_Tavern,51.497112°N 0.199042°W
The Sherlock Holmes,https://en.wikipedia.org/wiki/The_Sherlock_Holmes,51.5072°N 0.1255°W
"The Shuckburgh Arms, Chelsea","https://en.wikipedia.org/wiki/The_Shuckburgh_Arms,_Chelsea",51.4939°N 0.1647°W
"Swan & Edgar, Marylebone","https://en.wikipedia.org/wiki/Swan_%26_Edgar,_Marylebone",51.52402°N 0.16183°W
"The Wheatsheaf, Fitzrovia","https://en.wikipedia.org/wiki/The_Wheatsheaf,_Fitzrovia",51.5177°N 0.1341°W
"Windsor Castle, Kensington","https://en.wikipedia.org/wiki/Windsor_Castle,_Kensington",51.506306°N 0.19861°W
"The World's End, Chelsea","https://en.wikipedia.org/wiki/The_World%27s_End,_Chelsea",51.48194°N 0.17972°W
Zetland Arms,https://en.wikipedia.org/wiki/Zetland_Arms,51.493384°N 0.175891°W
"Druid's Head, Kingston upon Thames","https://en.wikipedia.org/wiki/Druid%27s_Head,_Kingston_upon_Thames",51.409229°N 0.306458°W
"The Bobbin, Clapham","https://en.wikipedia.org/wiki/The_Bobbin,_Clapham",51.466300°N 0.142840°W
"The Commercial, Herne Hill","https://en.wikipedia.org/wiki/The_Commercial,_Herne_Hill",51.45305°N 0.10268°W
"The Duke of Edinburgh, Brixton","https://en.wikipedia.org/wiki/The_Duke_of_Edinburgh,_Brixton",51.463319°N 0.120042°W
"King's Arms, Waterloo","https://en.wikipedia.org/wiki/King%27s_Arms,_Waterloo",51.504401°N 0.109072°W
"Old Red Lion, Kennington","https://en.wikipedia.org/wiki/Old_Red_Lion,_Kennington",51.489455°N 0.105153°W
"Queen's Head, Brixton","https://en.wikipedia.org/wiki/Queen%27s_Head,_Brixton",51.467282°N 0.118137°W
Royal Vauxhall Tavern,https://en.wikipedia.org/wiki/Royal_Vauxhall_Tavern,51.4864°N 0.1219°W
Amersham Arms,https://en.wikipedia.org/wiki/Amersham_Arms,51.47576730370705°N 0.032553241751990904°W
Blythe Hill Tavern,https://en.wikipedia.org/wiki/Blythe_Hill_Tavern,51.44235°N 0.03378°W
Fellowship Inn,https://en.wikipedia.org/wiki/Fellowship_Inn,51.4327°N 0.0203°W
Goldsmiths Tavern,https://en.wikipedia.org/wiki/Goldsmiths_Tavern,51.47551192933665°N 0.03690110366148678°W
Hare and Billet,https://en.wikipedia.org/wiki/Hare_and_Billet,51.4680000°N 0.0037000°E
The Montague Arms,https://en.wikipedia.org/wiki/The_Montague_Arms,51.473562°N 0.051322°W
New Cross Inn,https://en.wikipedia.org/wiki/New_Cross_Inn,51.475767°N 0.037149°W
"Crooked Billet, Wimbledon","https://en.wikipedia.org/wiki/Crooked_Billet,_Wimbledon",51.4215°N 0.2278°W
Boleyn Tavern,https://en.wikipedia.org/wiki/Boleyn_Tavern,51.5304°N 0.0381°E
Denmark Arms,https://en.wikipedia.org/wiki/Denmark_Arms,51.53313°N 0.05402°E
"Earl of Essex, Manor Park","https://en.wikipedia.org/wiki/Earl_of_Essex,_Manor_Park",51.550369°N 0.047473075°E
"King Edward VII, Stratford","https://en.wikipedia.org/wiki/King_Edward_VII,_Stratford",51.54105°N 0.00291°E
"Spotted Dog, Forest Gate","https://en.wikipedia.org/wiki/Spotted_Dog,_Forest_Gate",51.54191°N 0.02295°E
"Britannia, Richmond","https://en.wikipedia.org/wiki/Britannia,_Richmond",51.46083°N 0.30528°W
"The Bull's Head, Barnes","https://en.wikipedia.org/wiki/The_Bull%27s_Head,_Barnes",51.4737°N 0.2511°W
Dysart Arms,https://en.wikipedia.org/wiki/Dysart_Arms,51.446528°N 0.300233°W
"The Fox, Twickenham","https://en.wikipedia.org/wiki/The_Fox,_Twickenham",51.446655°N 0.327092°W
"Hare and Hounds, Sheen","https://en.wikipedia.org/wiki/Hare_and_Hounds,_Sheen",51.465000°N 0.264639°W
"The New Inn, Ham Common","https://en.wikipedia.org/wiki/The_New_Inn,_Ham_Common",51.43619°N 0.30507°W
"Old Ship, Richmond","https://en.wikipedia.org/wiki/Old_Ship,_Richmond",51.459694°N 0.306500°W
"Sun Inn, Barnes","https://en.wikipedia.org/wiki/Sun_Inn,_Barnes",51.473629°N 0.24747086°W
"White Cross, Richmond","https://en.wikipedia.org/wiki/White_Cross,_Richmond",51.45894°N 0.30834°W
"The White Swan, Twickenham","https://en.wikipedia.org/wiki/The_White_Swan,_Twickenham",51.44703°N 0.32142°W
Anchor Bankside,https://en.wikipedia.org/wiki/Anchor_Bankside,51.5073°N 0.0931°W
The Crown and Greyhound,https://en.wikipedia.org/wiki/The_Crown_and_Greyhound,51.44940°N 0.08485°W
"Dog and Duck, St George's Fields","https://en.wikipedia.org/wiki/Dog_and_Duck,_St_George%27s_Fields",51.49556°N 0.10861°W
"The George Inn, Southwark","https://en.wikipedia.org/wiki/The_George_Inn,_Southwark",51.504182°N 0.090021°W
"Half Moon, Herne Hill","https://en.wikipedia.org/wiki/Half_Moon,_Herne_Hill",51.4526°N 0.1006°W
Herne Tavern,https://en.wikipedia.org/wiki/Herne_Tavern,51.4534°N 0.0623°W
The Ivy House,https://en.wikipedia.org/wiki/The_Ivy_House,51.45820°N 0.05214°W
"Lord Nelson, Bermondsey","https://en.wikipedia.org/wiki/Lord_Nelson,_Bermondsey",51.486739°N 0.074239860°W
The Roebuck,https://en.wikipedia.org/wiki/The_Roebuck,51.498070°N 0.090617°W
The Shipwrights Arms,https://en.wikipedia.org/wiki/The_Shipwrights_Arms,51.504555°N 0.083633059°W
The Tabard,https://en.wikipedia.org/wiki/The_Tabard,51.50389°N 0.08972°W
"The Wheatsheaf, Southwark","https://en.wikipedia.org/wiki/The_Wheatsheaf,_Southwark",51.505161°N 0.091057359°W
"Black Horse, Stepney","https://en.wikipedia.org/wiki/Black_Horse,_Stepney",51.521052°N 0.0490373°W
The Blind Beggar,https://en.wikipedia.org/wiki/The_Blind_Beggar,51.5200°N 0.0569°W
Commercial Tavern,https://en.wikipedia.org/wiki/Commercial_Tavern,51.521609°N 0.0756954°W
"Charlie Brown's, Limehouse","https://en.wikipedia.org/wiki/Charlie_Brown%27s,_Limehouse",51.5088°N 0.0247°W
George Tavern,https://en.wikipedia.org/wiki/George_Tavern,51.5143°N 0.0530°W
"Golden Heart, Spitalfields","https://en.wikipedia.org/wiki/Golden_Heart,_Spitalfields",51.520146°N 0.074215°W
"The Gun, Coldharbour","https://en.wikipedia.org/wiki/The_Gun,_Coldharbour",51.50178°N 0.00774°W
"The Grapes, Limehouse","https://en.wikipedia.org/wiki/The_Grapes,_Limehouse",51.5087806°N 0.0340750°W
